desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
Facebook_ResNext101_32x16d_wsl,SVC,True,1.0,1.0,1.0,1.0,0.9012345679012346,0.8795194987136707,0.8972151132654229,0.9012345679012346,,,,,,,
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8569767441860465,0.7615248073362899,0.8377969462257943,0.8569767441860465,0.786046511627907,0.6601382488479263,0.7562047654770836,0.786046511627907,1604414123.8116403,cells,128.0,32.0,1.0,0.6522796154022217,0.7841899991035461
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8802325581395349,0.8148498998596903,0.8750249560676633,0.8802325581395349,0.7813953488372093,0.6929564749986218,0.7710261841054288,0.7813953488372093,1604414130.2410014,cells,128.0,32.0,1.0,0.7543423771858215,0.8590989708900452
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8569767441860465,0.7491742836193016,0.8274514866727729,0.8569767441860465,0.7813953488372093,0.6473861283643891,0.7476407145264578,0.7813953488372093,1604414139.588671,cells,128.0,32.0,1.0,0.8664591312408447,0.9314119815826416
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9255813953488373,0.8897395762578347,0.9228393992352407,0.9255813953488372,0.7953488372093023,0.7064864388663888,0.7844980942783033,0.7953488372093023,1604414152.06854,cells,256.0,32.0,1.0,0.4415026307106018,0.6551574468612671
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7802325581395348,0.5980734555265841,0.7556511655899136,0.7802325581395348,0.7162790697674419,0.5510459045651609,0.696526650054554,0.7162790697674418,1604414164.8764489,cells,256.0,32.0,1.0,0.665475606918335,0.8176242709159851
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9186046511627907,0.8776019823956891,0.9158227345860042,0.9186046511627907,0.7813953488372093,0.6900510505286017,0.7711662959882075,0.7813953488372093,1604414184.135357,cells,256.0,32.0,1.0,0.6430667638778687,0.7884264588356018
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8197674418604651,0.6992111444507881,0.7988504250627108,0.8197674418604651,0.772093023255814,0.6283773045136681,0.7436429673216142,0.772093023255814,1604414209.8561368,cells,128.0,32.0,1.0,0.9294013381004333,0.9937353134155273
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7965116279069767,0.6263088391177517,0.7458649784790212,0.7965116279069767,0.7534883720930233,0.5563725490196078,0.6953853169174646,0.7534883720930232,1604414216.1751184,cells,128.0,32.0,1.0,1.0604749917984009,1.0962313413619995
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7244186046511628,0.40468487641413375,0.6325352549024419,0.7244186046511628,0.6976744186046512,0.3736854725447881,0.6022227373717337,0.6976744186046512,1604414225.5371785,cells,128.0,32.0,1.0,1.1515557765960693,1.1705747842788696
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8255813953488372,0.7311028319787907,0.8102896977494258,0.8255813953488372,0.7581395348837209,0.6656779981403713,0.7487959144247638,0.7581395348837209,1604414238.0922754,cells,256.0,32.0,1.0,0.6973450183868408,0.8179269433021545
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7593023255813953,0.5544514817439508,0.7041110336846482,0.7593023255813953,0.7069767441860465,0.4506654898342182,0.6267125432280146,0.7069767441860465,1604414250.871642,cells,256.0,32.0,1.0,0.8836066722869873,0.9407482147216797
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.786046511627907,0.5988160195705825,0.7273340297629675,0.786046511627907,0.7348837209302326,0.5576825324724484,0.6810161399569256,0.7348837209302326,1604414269.8507383,cells,256.0,32.0,1.0,0.9816485047340393,1.0225410461425781
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8790697674418605,0.8189977677849204,0.8755431996132412,0.8790697674418605,0.786046511627907,0.6866012258050626,0.7717352345184194,0.786046511627907,1604414295.5069053,hidden,128.0,32.0,1.0,0.6546115875244141,0.7991525530815125
